"ID","year","sex","unit","used_out","used_in","month","month_long","avail_pts","m_elev","m_snd","m_a.sin","m_a.cos","m_rough","m_bio","m_herb","m_shrub","m_tree","m_SC_elev","m__SC_a.sin","m__SC_a.cos","m__SC_rough","m__SC_bio","m__SC_herb","m__SC_shrub","m_SC_tree","m_road","m_PDSI","Intercept_beta","Elev_beta","Asp_sin_beta","Asp_cos_beta","Rough_beta","Herb_beta","Shrub_beta","Tree_beta","Intercept_stder","Elev_stder","Asp_sin_stder","Asp_cos_stder","Rough_stder","Herb_stder","Shrub_stder","Tree_stder","is.Winter","is.Spring","is.Summer","is.Fall","is.2018","is.2019","is.2020","is.2021","mortality","age_class","age","b_year","tendency","mig_tend","is.mig","is.res","is.unk_mig","is.Adult","is.age_unk","is.Male","is.Female","is.unk","is.AntelopeIsland","is.Dugway","is.NorthSlope","is.Plateau","is.SouthwestDesert","is.WestDesert","is.Woodruff","clim.reg","is.NorthCentral","is.NorthMnt","is.Western","is.SouthCentral","is.mountain"
"PR20F0069",2020,"F","North Slope",0,346,11,"November",111222,2109.76244132587,13.9521610948166,0.0330166604983965,-0.0223415947924383,15.9018943523075,384.63030695366,25.3989048929169,21.636357914801,6.16677455899013,0.0228907150983825,0.00302796355218509,-0.174375199228974,0.927011899589216,0.0371402978621133,-0.212681468693053,0.466842631900528,0.257436309323222,0.0214525903148658,-3.56208596893692,-16.9353714489262,-1.11460560535899,0.998738823081606,-0.427127190892365,-0.105807238538723,0.664659466301235,-0.537106189628565,-6.8136612015433,0.34637813232437,0.251756109731858,0.0804927014745864,0.0727740836334268,0.0705471142042318,0.115091848330508,0.0916000290935488,0.780855873082874,0,0,0,1,0,0,1,0,"false","adult",5.5,2016,"mig","mig",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,"Northern Mountains",0,1,0,0,1
"PR20F0070",2020,"F","North Slope",23,310,7,"July",111222,2022.8349495275,NA,0.0483173678713992,-0.112626803279315,18.364909202086,391.665695635756,25.3404811997626,17.6066605527683,14.0718742694791,-0.149762081221365,0.0241864617509323,-0.30652884639748,1.19789034396132,0.055809097223052,-0.215348758203941,0.0747999742386349,1.1690140420049,0.0210929492366618,-1.48812564994458,-13.8126376007329,3.46587170297526,-0.0767779712687077,0.449904448074134,-1.27163065391088,-0.141781030765438,-1.1115473812373,-1.37689101293529,0.109624597373167,0.221724840300601,0.0605745364624819,0.054874031779659,0.129517437479407,0.146828265694762,0.103839475729963,0.236101083836499,0,0,1,0,0,0,1,0,"false","adult",6.5,2015,"res","res",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,"Northern Mountains",0,1,0,0,1
"PR20F0070",2020,"F","North Slope",0,348,4,"April",111556,2048.86468661353,1.92483386611697,-0.0609681636676526,-0.120748454156182,19.1043659590321,348.772553695005,23.4259564702929,16.834934920578,14.3026641328122,-0.0980625923439644,-0.126938428481144,-0.318416793519663,1.27921461856729,-0.0580102661463148,-0.302754936306521,-0.000279948804788902,1.19562760894878,0.0205188425544121,-1.21282054944192,-20.051483203154,-5.02898484620259,-0.542743982273176,1.64317282992489,-1.56894960520016,1.83661028115842,-0.753109006347949,-10.4569761572563,0.688362325803552,0.430638293287185,0.0873968155313839,0.0997496066415698,0.219349509626539,0.147771546965292,0.126824780211082,1.46886576852455,0,1,0,0,0,0,1,0,"false","adult",6.5,2015,"res","res",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,"Northern Mountains",0,1,0,0,1
"PR20F0070",2020,"F","North Slope",209,136,11,"November",110889,1987.93992891069,4.2264150008439,-0.150764419146632,0.0751505222878613,14.1667681304792,279.836304773242,24.4277791304818,17.4353723092462,11.8553779004229,-0.219069532322132,-0.251112681572121,-0.0316725455134072,0.736185485448693,-0.240936477897966,-0.257017480678082,0.0581356215134492,0.913418438078434,0.0347194040887735,-3.44670644207144,-13.1930620320919,11.6483499616516,-0.565728212502744,0.0551318380609731,-2.63592537639287,-0.101100932670615,-0.687688457780612,-1.72440280258474,0.170192021076844,0.296491516678413,0.0660309497206777,0.0574409319787773,0.139196450430059,0.136606056303202,0.0898241360185185,0.385258647080933,0,0,0,1,0,0,1,0,"false","adult",6.5,2015,"mig","mig",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,"Northern Mountains",0,1,0,0,1
"PR20F0071",2020,"F","North Slope",31,316,4,"April",110889,2089.11015221809,2.33115547290054,-0.0815256422831207,0.0168507554596373,17.4651366267203,355.701701701702,24.8305693080468,18.3367150934718,11.6037839641443,-0.0181282466948864,-0.155366223592345,-0.117007972484738,1.09893479136866,-0.0396233823898456,-0.238628399849669,0.145825785028347,0.884405846411183,0.018207396585775,-1.16499862081437,-15.3383783162749,-1.92288332390946,-0.0660043765648895,-0.255256986236146,-0.603729397652687,-0.546894602491356,-1.19133834285871,-4.41886586861236,0.245238479000981,0.461413042449347,0.0635827956781784,0.0643839380127735,0.0864017229651851,0.137660432055101,0.10829013321897,0.517293569963197,0,1,0,0,0,0,1,0,"false","adult",5.5,2016,"res","res",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,"Northern Mountains",0,1,0,0,1
"PR20F0071",2020,"F","North Slope",0,340,7,"July",110889,2090.32563750626,NA,-0.07647931356583,0.00756397371249239,18.5819229610206,314.037145253361,21.6470344218092,17.5014924834745,13.0175851527203,-0.0157140860013373,-0.148387935956868,-0.130601362796524,1.22175717100575,-0.150182625090409,-0.383970276598024,0.0645683449913353,1.04743853785652,0.0184328472616761,-1.49177236145764,-18.696422392616,-12.4479560385618,-0.504351759744866,-0.351576064761036,-0.537517271548425,-0.972239943693993,-1.21317097635267,-3.84813434954942,0.357469088982728,0.792596484991334,0.0704804121769484,0.0737242796099307,0.0873569750453537,0.143800163372884,0.127062652798097,0.42346975169204,0,0,1,0,0,0,1,0,"false","adult",5.5,2016,"res","res",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,"Northern Mountains",0,1,0,0,1
"PR20F0071",2020,"F","North Slope",1,347,11,"November",111556,2111.94209451445,16.2848252031741,-0.151944923202222,-0.0334690871700645,19.4511025683972,297.048146222525,20.8909695578902,16.9754293807594,15.2789719961275,0.0272198773718047,-0.252745135047957,-0.190662902676619,1.31734815777844,-0.195263889051992,-0.41848784596424,0.0133885271644632,1.30821069341758,0.0177399691634695,-3.68715768983687,-15.4686338179449,-2.37247028364847,-0.23431110947969,0.0150836734251094,-0.649313720047315,0.237492419066524,-1.27945098874336,-5.09378893087591,0.280002609942634,0.412536793944132,0.0637146933899101,0.0603372702986933,0.104607614700278,0.117237876694053,0.112214741703144,0.611416988077769,0,0,0,1,0,0,1,0,"false","adult",5.5,2016,"res","res",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,"Northern Mountains",0,1,0,0,1
"PR20F0072",2020,"F","North Slope",144,204,4,"April",111222,2153.39124432832,2.73296469046405,-0.227781460807536,-0.0331156701811673,14.3470902049276,445.522513531496,31.337613062164,21.8007408606211,8.06950962938987,0.109544944762914,-0.357615269820449,-0.190145593752634,0.756017019561021,0.198721191059884,0.058445759882491,0.482835179519807,0.47685048307077,0.0217672762582942,-0.797339488892678,-14.7343208499364,0.424734988465864,0.734849739416047,0.0462580395070749,-0.354662410717861,-0.0195033564196061,-0.0845400997761107,-2.95066065848858,0.19740167594266,0.217574813054425,0.0697440519178399,0.0527173058900112,0.073739705073862,0.157587382781602,0.103225718462274,0.431901471159594,0,1,0,0,0,0,1,0,"false","adult",6.5,2015,"mig","mig",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,"Northern Mountains",0,1,0,0,1
"PR20F0072",2020,"F","North Slope",0,334,7,"July",110889,2173.05306805411,NA,-0.0373840795030915,-0.232118815934338,16.3190949254435,485.115106097088,31.9079439800161,22.2445147850553,6.64277791304818,0.148596673701297,-0.0943253086984968,-0.481433523968909,0.972894953137343,0.303782361122532,0.0844837864568442,0.526009217941512,0.312326705919406,0.0298135973811649,-1.43325264018887,-15.2480599502972,2.16818693160196,-0.22483990167782,0.64600795909591,-0.921714784621456,0.812124699421935,0.137739766627373,-2.06996832490907,0.200441706787999,0.259354633507516,0.063872740080689,0.0543267898073834,0.100934235795166,0.18625875339699,0.0907275269386616,0.38600887198457,0,0,1,0,0,0,1,0,"false","adult",6.5,2015,"mig","mig",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,"Northern Mountains",0,1,0,0,1
"PR20F0072",2020,"F","North Slope",117,229,11,"November",111222,2053.75936110342,14.2621528235099,-0.0633145438091302,-0.101010682502432,19.4438444854643,306.065391739044,21.3785312258366,15.9659240078402,14.9637301972631,-0.0883409355899027,-0.130183107226169,-0.289525920310888,1.316549925395,-0.171336121171214,-0.396228586875788,-0.0848245974865631,1.27185853914001,0.0195195195195195,-3.66282350596076,-16.4128067298827,0.823495260033429,0.298890555762624,0.758892597549881,-0.199282721323328,0.944041894743225,-0.621169938421939,-8.22285358655703,0.3857936807299,0.205384764881028,0.0623809793741456,0.061723250924289,0.0591847554384072,0.13741424171152,0.109116465704509,0.904408255905875,0,0,0,1,0,0,1,0,"false","adult",6.5,2015,"mig","mig",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,"Northern Mountains",0,1,0,0,1
