"ID","m_PDSI","month","year"
"PR17U0004",-3.2378395783775,"04","2018"
"PR17F0022",-3.19852889123688,"04","2018"
"PR17F0037",-2.83842867109408,"04","2018"
"PR17M0003",-2.88604312032572,"04","2018"
"PR17F0024",-3.21268537978461,"04","2018"
"PR17M0001",-2.83237298059838,"04","2018"
"PR17M0010",-2.82758354441055,"04","2018"
"PR17M0008",-2.89131714536382,"04","2018"
"PR17F0036",-2.9073574736033,"04","2018"
"PR17M0033",-3.18084068520077,"04","2018"
"PR17M0013",-2.81237530143038,"04","2018"
"PR17F0013",-3.0222798061839,"04","2018"
"PR17M0015",-3.26164008336745,"04","2018"
"PR17F0014",-2.77113409717866,"04","2018"
"PR17F0006",-2.80726713120418,"04","2018"
"PR17F0011",-2.80668093144622,"04","2018"
"PR17F0009",-2.78353627669851,"04","2018"
"PR17M0014",-3.17454751313465,"04","2018"
"PR17M0034",-2.63556812479466,"04","2018"
"PR17F0015",-2.7137940453136,"04","2018"
"PR17M0009",-2.54374554547945,"04","2018"
"PR17M0012",-3.12888834430211,"04","2018"
"PR17F0004",-2.97937425263795,"04","2018"
"PR17F0010",-2.79558404770467,"04","2018"
"PR17F0005",-2.75249361019408,"04","2018"
"PR17F0012",-3.0487283476535,"04","2018"
"PR17M0004",-2.90184509893088,"04","2018"
"PR17F0001",-2.64967138854574,"04","2018"
"PR17F0002",-2.90655973926059,"04","2018"
"PR17M0024",-3.11155918557429,"04","2018"
"PR17F0007",-2.66063970016015,"04","2018"
"PR17F0003",-2.92389669027509,"04","2018"
"PR17M0002",-4.21710263889503,"07","2018"
"PR17M0007",-4.21806404493832,"07","2018"
"PR17M0006",-4.6852390837741,"07","2018"
"PR17M0005",-4.53479573094541,"07","2018"
"PR17M0031",-4.09566089367105,"07","2018"
"PR17M0016",-4.53546907085428,"07","2018"
"PR17M0022",-4.43260015728117,"07","2018"
"PR17M0023",-4.0605860113144,"07","2018"
"PR17F0032",-4.46314301413141,"07","2018"
"PR17M0032",-4.94095353747198,"07","2018"
"PR17M0029",-4.43843660540036,"07","2018"
"PR17M0026",-4.18415945900222,"07","2018"
"PR17F0033",-5.12683192588532,"07","2018"
"PR17M0019",-4.44579997440794,"07","2018"
"PR17M0025",-4.51673415657749,"07","2018"
"PR17M0027",-4.13637938822453,"07","2018"
"PR17M0030",-4.37072531078919,"07","2018"
"PR17M0018",-4.05350532479836,"07","2018"
"PR17F0035",-5.12595722375174,"07","2018"
"PR17M0024",-4.35758603087778,"07","2018"
"PR17F0031",-4.45084086331943,"07","2018"
"PR17M0028",-4.91936279121309,"07","2018"
"PR17F0034",-4.37466082218047,"07","2018"
"PR17M0021",-4.43535120786252,"07","2018"
"PR17U0007",-4.63731514647143,"07","2018"
"PR17M0017",-4.53108434845527,"07","2018"
"PR17F0023",-4.1768898808027,"07","2018"
"PR17F0026",-4.49072151099966,"07","2018"
"PR17F0017",-4.28118013802298,"07","2018"
"PR17F0008",-5.203081560453,"07","2018"
"PR17U0001",-4.60705601577446,"07","2018"
"PR17F0018",-5.20733556881687,"07","2018"
"PR17M0011",-4.00530520263139,"07","2018"
"PR17F0027",-4.94099771579257,"07","2018"
"PR17F0019",-4.53878775964019,"07","2018"
"PR17F0020",-4.83184427570309,"07","2018"
"PR17U0004",-4.84042774442738,"07","2018"
"PR17F0037",-3.9942178294834,"07","2018"
"PR17M0003",-3.99890280903627,"07","2018"
"PR17F0024",-4.38444337622618,"07","2018"
